name	reason
6-aminopenicillanic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
6-diazo-5-oxo-L-norleucine	no aromatic nitrogen (cannot coordinate the heme iron)
6-iodo-nordihydrocapsaicin	no aromatic nitrogen (cannot coordinate the heme iron)
_6_7-dehydro-17-acetoxy-progesterone_	unparseable SMILES
7-aminocephalosporanic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
7-hydroxy-DPAT	no aromatic nitrogen (cannot coordinate the heme iron)
7-hydroxy-PIPAT	no aromatic nitrogen (cannot coordinate the heme iron)
7-keto-DHEA	no aromatic nitrogen (cannot coordinate the heme iron)
_7_8_9_10-tetrahydroazepino_2_1-b_quinazolin-12_6H_-one_	no aromatic nitrogen (cannot coordinate the heme iron)
8-bromo-cAMP	unparseable SMILES
8-bromo-cGMP	unparseable SMILES
8-hydroxy-DPAT	no aromatic nitrogen (cannot coordinate the heme iron)
8-hydroxy-PIPAT	no aromatic nitrogen (cannot coordinate the heme iron)
8-M-PDOT	unparseable SMILES
80841-78-7	no aromatic nitrogen (cannot coordinate the heme iron)
9-anthracenecarboxylic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
A-1120	no aromatic nitrogen (cannot coordinate the heme iron)
A-317491	no aromatic nitrogen (cannot coordinate the heme iron)
A-33903	unparseable SMILES
A-366	no aromatic nitrogen (cannot coordinate the heme iron)
A-485	no aromatic nitrogen (cannot coordinate the heme iron)
A-61603	unparseable SMILES
A-7	no aromatic nitrogen (cannot coordinate the heme iron)
A-803467	no aromatic nitrogen (cannot coordinate the heme iron)
A-922500	no aromatic nitrogen (cannot coordinate the heme iron)
A-939572	no aromatic nitrogen (cannot coordinate the heme iron)
A-967079	no aromatic nitrogen (cannot coordinate the heme iron)
A0001	unparseable SMILES
A12B4C3	unparseable SMILES
A61603	unparseable SMILES
A740003	unparseable SMILES
A77636	no aromatic nitrogen (cannot coordinate the heme iron)
A922500	no aromatic nitrogen (cannot coordinate the heme iron)
AA-29504	no aromatic nitrogen (cannot coordinate the heme iron)
AB-423	no aromatic nitrogen (cannot coordinate the heme iron)
abamectin	unparseable SMILES
abarelix	101 heavy atoms > 45 (outside applicability domain)
ABC-294640	unparseable SMILES
abiraterone	unparseable SMILES
abiraterone-acetate	unparseable SMILES
ABT-239	no aromatic nitrogen (cannot coordinate the heme iron)
ABT-639	no aromatic nitrogen (cannot coordinate the heme iron)
ABT-737	56 heavy atoms > 45 (outside applicability domain)
ABX-1431	no aromatic nitrogen (cannot coordinate the heme iron)
AC-186	no aromatic nitrogen (cannot coordinate the heme iron)
AC-264613	no aromatic nitrogen (cannot coordinate the heme iron)
AC-55541	unparseable SMILES
AC-55649	no aromatic nitrogen (cannot coordinate the heme iron)
AC-7954-___-_	no aromatic nitrogen (cannot coordinate the heme iron)
AC1NDSS5	no aromatic nitrogen (cannot coordinate the heme iron)
AC260584	no aromatic nitrogen (cannot coordinate the heme iron)
acamprosate	no aromatic nitrogen (cannot coordinate the heme iron)
acarbose	no aromatic nitrogen (cannot coordinate the heme iron)
acebutolol	no aromatic nitrogen (cannot coordinate the heme iron)
acecainide	no aromatic nitrogen (cannot coordinate the heme iron)
aceclidine	unparseable SMILES
aceclofenac	no aromatic nitrogen (cannot coordinate the heme iron)
acedapsone	no aromatic nitrogen (cannot coordinate the heme iron)
acedoben	no aromatic nitrogen (cannot coordinate the heme iron)
aceglutamide	no aromatic nitrogen (cannot coordinate the heme iron)
acelarin	unparseable SMILES
aceneuramic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
acenocoumarol	unparseable SMILES
acepromazine	no aromatic nitrogen (cannot coordinate the heme iron)
acesulfame-potassium	no aromatic nitrogen (cannot coordinate the heme iron)
acetanilide	no aromatic nitrogen (cannot coordinate the heme iron)
acetarsol	no aromatic nitrogen (cannot coordinate the heme iron)
acetohexamide	no aromatic nitrogen (cannot coordinate the heme iron)
acetohydroxamic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
acetophenazine	no aromatic nitrogen (cannot coordinate the heme iron)
acetriazoic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
acetyl-11-keto-beta-boswellic-acid	unparseable SMILES
acetyl-farnesyl-cysteine	no aromatic nitrogen (cannot coordinate the heme iron)
acetyl-l-leucine	no aromatic nitrogen (cannot coordinate the heme iron)
acetylcholine	no aromatic nitrogen (cannot coordinate the heme iron)
acetylcysteine	no aromatic nitrogen (cannot coordinate the heme iron)
acetylsalicylsalicylic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
acetylspiramycin	unparseable SMILES
acexamic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
acifran	unparseable SMILES
acitretin	no aromatic nitrogen (cannot coordinate the heme iron)
acivicin	no aromatic nitrogen (cannot coordinate the heme iron)
aclarubicin	58 heavy atoms > 45 (outside applicability domain)
aclidinium	no aromatic nitrogen (cannot coordinate the heme iron)
acolbifene	no aromatic nitrogen (cannot coordinate the heme iron)
acoziborole	no aromatic nitrogen (cannot coordinate the heme iron)
ACPC	no aromatic nitrogen (cannot coordinate the heme iron)
acrylate	no aromatic nitrogen (cannot coordinate the heme iron)
ACT-462206	no aromatic nitrogen (cannot coordinate the heme iron)
actarit	no aromatic nitrogen (cannot coordinate the heme iron)
actinomycin-d	90 heavy atoms > 45 (outside applicability domain)
AD-5467	unparseable SMILES
adapalene	no aromatic nitrogen (cannot coordinate the heme iron)
adaprev	unparseable SMILES
adaptavir	60 heavy atoms > 45 (outside applicability domain)
adarotene	no aromatic nitrogen (cannot coordinate the heme iron)
adelmidrol	no aromatic nitrogen (cannot coordinate the heme iron)
adiphenine	no aromatic nitrogen (cannot coordinate the heme iron)
adipic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
adiporon	no aromatic nitrogen (cannot coordinate the heme iron)
ADL5859	no aromatic nitrogen (cannot coordinate the heme iron)
adomeglivant	no aromatic nitrogen (cannot coordinate the heme iron)
adrafinil	no aromatic nitrogen (cannot coordinate the heme iron)
adrenalone	no aromatic nitrogen (cannot coordinate the heme iron)
adrenosterone	no aromatic nitrogen (cannot coordinate the heme iron)
afalanine	no aromatic nitrogen (cannot coordinate the heme iron)
afamelanotide	118 heavy atoms > 45 (outside applicability domain)
afimoxifene	no aromatic nitrogen (cannot coordinate the heme iron)
AG-1024	no aromatic nitrogen (cannot coordinate the heme iron)
AG-490	no aromatic nitrogen (cannot coordinate the heme iron)
AG-555	no aromatic nitrogen (cannot coordinate the heme iron)
AG-556	no aromatic nitrogen (cannot coordinate the heme iron)
AGI-5198	unparseable SMILES
AGI-6780	no aromatic nitrogen (cannot coordinate the heme iron)
AGM-1470	unparseable SMILES
agmatine	no aromatic nitrogen (cannot coordinate the heme iron)
AGN-192403	unparseable SMILES
AGN-194310	no aromatic nitrogen (cannot coordinate the heme iron)
AGN-195183	no aromatic nitrogen (cannot coordinate the heme iron)
agomelatine	no aromatic nitrogen (cannot coordinate the heme iron)
AGP-103	no aromatic nitrogen (cannot coordinate the heme iron)
AH-7614	no aromatic nitrogen (cannot coordinate the heme iron)
