rank	ligand	N_Fe_dist_A	vina_kcal_mol
1535	amidopyrine	4.237	-8.0
1536	JNJ-10191584	4.238	-8.6
1537	INCB-3284	4.239	-12.1
1538	LDC1267	4.240	-11.5
1539	LY2979165	4.240	-8.1
1540	EI1	4.243	-9.0
1541	BI-224436	4.243	-8.1
1542	DIM-C-pPhCO2Me	4.244	-9.7
1543	RAF265	4.246	-12.6
1544	GSK3787	4.246	-10.4
1545	lazabemide	4.246	-6.2
1546	SB-243213	4.246	-11.5
1547	opicapone	4.248	-9.3
1548	PLX8394	4.248	-11.0
1549	carboxypyridine-disulfide	4.251	-8.6
1550	AVN-492	4.252	-7.2
1551	hPGDS-IN-1	4.255	-11.6
1552	EC-144	4.256	-9.3
1553	pixantrone	4.258	-7.3
1554	MGCD-265	4.259	-11.6
1555	AZ-10417808	4.259	-8.4
1556	aztreonam	4.260	-8.2
1557	SB-222200	4.262	-10.3
1558	ziprasidone	4.263	-11.2
1559	GSK2982772	4.264	-10.8
1560	CEP-33779	4.264	-9.9
1561	doravirine	4.264	-9.1
1562	SR-95639A	4.265	-10.4
1563	CCT128930	4.265	-9.5
1564	HC-070	4.266	-9.1
1565	marbofloxacin	4.267	-9.8
1566	floxuridine	4.269	-7.2
1567	lobendazole	4.269	-7.5
1568	NSC-23766	4.271	-8.9
1569	MK-3207	4.271	-13.0
1570	pamiparib	4.273	-9.4
1571	quinelorane	4.275	-8.0
1572	A66	4.276	-8.1
1573	BVD-523	4.276	-9.7
1574	CTEP	4.276	-10.4
1575	tomivosertib	4.278	-10.3
1576	MTPG	4.278	-8.2
1577	EIPA	4.279	-8.0
1578	asivatrep	4.280	-9.5
1579	PF-04691502	4.282	-8.2
1580	SKI-II	4.283	-9.0
1581	ADX-47273	4.284	-10.8
1582	PD-160170	4.284	-8.5
1583	SSR128129E	4.284	-9.7
1584	imatinib	4.285	-10.7
1585	R-428	4.285	-14.1
1586	ABT-724	4.285	-9.7
1587	rabeprazole	4.291	-8.2
1588	MK-2295	4.291	-11.4
1589	Q-203	4.292	-12.7
1590	savolitinib	4.293	-9.6
1591	toltrazuril	4.294	-10.5
1592	AUT-1	4.295	-10.2
1593	uridine	4.296	-7.0
1594	PF-02413873	4.296	-9.0
1595	rauwolscine	4.297	-8.7
1596	KB-SRC-4	4.297	-12.7
1597	catharanthine	4.299	-9.9
1598	JNJ-37822681	4.308	-10.4
1599	AZD4547	4.310	-11.4
1600	cidofovir	4.311	-6.8
1601	AZD8931	4.311	-8.8
1602	NBI-27914	4.312	-8.1
1603	amflutizole	4.314	-8.5
1604	PF-06409577	4.316	-10.3
1605	methazolamide	4.318	-6.0
1606	WH-4-023	4.318	-10.2
1607	BET-BAY-002	4.318	-10.7
1608	YL0919	4.319	-9.3
1609	PD-407824	4.319	-11.3
1610	ASP3026	4.319	-12.2
1611	integrin-antagonist-1	4.325	-12.3
1612	gemigliptin	4.329	-10.5
1613	ketohexokinase-inhibitor-1	4.331	-9.3
1614	JNJ-1661010	4.332	-9.6
1615	XMD8-92	4.334	-9.9
1616	ceftiofur	4.335	-7.5
1617	TAS-103	4.337	-9.2
1618	dicloxacillin	4.337	-7.6
1619	isocarboxazid	4.337	-8.7
1620	API-001	4.338	-9.8
1621	HTH-01-015	4.341	-10.1
1622	alcaftadine	4.344	-8.1
1623	tetrindole	4.344	-11.3
1624	PJ-34	4.347	-9.7
1625	brincidofovir	4.348	-8.2
1626	roblitinib	4.349	-6.8
1627	GLPG0187	4.349	-10.4
1628	BVT-2733	4.350	-10.1
1629	A-784168	4.351	-11.8
1630	L-655240	4.352	-10.1
1631	VU152100	4.352	-9.1
1632	propyphenazone	4.358	-8.4
1633	uracil-mustard	4.358	-6.1
1634	BTT-3033	4.358	-11.7
1635	droxicam	4.362	-9.1
1636	Ro-3306	4.365	-10.5
1637	MBX-2982	4.365	-11.7
1638	cetylpyridinium	4.365	-7.8
1639	ORG-12962	4.367	-8.7
1640	tanaproget	4.368	-8.5
1641	BMS-626531	4.370	-9.4
1642	flunixin-meglumin	4.370	-8.7
1643	XBD173	4.370	-10.1
1644	IPI549	4.371	-8.6
1645	vismodegib	4.375	-9.9
1646	OTS514	4.376	-8.0
1647	trap-101	4.377	-10.5
1648	sulfamethoxazole	4.377	-8.2
1649	CaMKII-IN-1	4.377	-9.8
1650	risdiplam	4.381	-11.2
1651	oxolinic-acid	4.382	-8.1
1652	pitavastatin	4.385	-8.0
1653	omecamtiv-mecarbil	4.385	-10.2
1654	E7046	4.386	-11.4
1655	semaxanib	4.387	-9.1
1656	sparsentan	4.387	-8.5
1657	sitaxentan	4.388	-10.1
1658	CGH2466	4.395	-8.0
1659	COTI-2	4.398	-10.1
1660	FGIN-1-43	4.401	-8.7
1661	BMS-599626	4.403	-11.1
1662	SCH-28080	4.405	-8.9
1663	EG00229	4.405	-8.8
1664	rimcazole	4.406	-10.4
1665	barasertib	4.407	-10.4
1666	vorasidenib	4.408	-9.2
1667	linaprazan	4.408	-8.3
1668	Mps1-IN-1	4.411	-10.1
1669	D-64131	4.412	-9.5
1670	benzotript	4.413	-9.7
1671	KR-33494	4.413	-10.2
1672	mirodenafil	4.414	-7.7
1673	atuveciclib	4.414	-10.7
1674	rislenemdaz	4.414	-10.5
1675	bendazac	4.415	-10.1
1676	cefdinir	4.416	-8.8
1677	MK-7622	4.417	-10.5
1678	ML281	4.418	-9.5
1679	VU0422288	4.419	-9.9
1680	pemirolast	4.423	-8.0
1681	genz-644282	4.426	-8.1
1682	erdafitinib	4.427	-9.3
1683	FG-4592	4.428	-10.4
1684	azaperone	4.428	-9.7
1685	MCOPPB	4.432	-10.4
1686	LY2606368	4.433	-7.9
1687	LY3214996	4.435	-10.5
1688	regorafenib	4.436	-11.4
1689	tracazolate	4.441	-7.6
1690	PF-750	4.442	-11.2
1691	azatadine	4.443	-10.2
1692	orteronel	4.445	-9.9
1693	GDC-0077	4.449	-10.3
1694	tandospirone	4.450	-10.8
1695	go-6983	4.450	-9.7
1696	PF-06651600	4.452	-8.8
1697	pazufloxacin	4.453	-9.1
1698	perospirone	4.453	-10.9
1699	ergonovine	4.454	-9.0
1700	AZD5069	4.456	-9.0
1701	benzoxiquine	4.459	-9.8
1702	methysergide	4.460	-9.5
1703	NI-57	4.461	-8.4
1704	GS-39783	4.461	-9.5
1705	PDE10-IN-1	4.464	-10.7
1706	AQ-RA741	4.465	-10.1
1707	CT7001	4.467	-9.8
1708	zopolrestat	4.469	-10.8
1709	TC-F-2	4.470	-11.4
1710	lornoxicam	4.470	-8.9
1711	CP-376395	4.472	-9.2
1712	XD-14	4.473	-8.4
1713	BAY-60-7550	4.475	-10.3
1714	DS2-_806622_	4.478	-9.3
1715	ARRY-334543	4.479	-10.3
1716	OF-1	4.479	-8.8
1717	MC-1	4.480	-7.0
1718	piclamilast	4.480	-8.3
1719	sulfathiazole	4.481	-7.5
1720	zaldaride	4.481	-11.4
1721	fostemsavir	4.482	-9.5
1722	EPZ015666	4.482	-9.8
1723	sulfaquinoxaline	4.483	-9.4
1724	cinchophen	4.484	-9.9
1725	BMS-626529	4.485	-8.9
1726	pumosetrag	4.486	-8.8
1727	dovitinib	4.486	-11.4
1728	cenerimod	4.489	-10.0
1729	uprifosbuvir	4.489	-8.4
1730	cefoperazone	4.493	-7.7
1731	eprosartan	4.495	-8.5
1732	ciclopirox	4.501	-8.3
1733	nelociguat	4.503	-10.6
1734	TC-N-1752	4.503	-11.9
1735	encorafenib	4.503	-9.0
1736	roflumilast	4.505	-8.0
1737	LY2584702	4.505	-11.8
1738	ORE1001	4.505	-8.4
1739	SA-47	4.508	-9.2
1740	cefpiramide	4.512	-8.8
1741	alfuzosin	4.514	-9.1
1742	CH-5183284	4.518	-11.3
1743	CGP-74514	4.521	-8.5
1744	ICA-069673	4.523	-8.6
1745	rilpivirine	4.523	-10.5
1746	NK-252	4.524	-9.1
1747	lenvatinib	4.524	-9.8
1748	dipraglurant	4.527	-9.4
1749	vemurafenib	4.530	-10.3
1750	danazol	4.532	-9.8
1751	barasertib-HQPA	4.535	-9.8
1752	pexmetinib	4.536	-10.4
1753	compound-401	4.537	-9.3
1754	CCT129202	4.540	-8.0
1755	merbarone	4.540	-8.3
1756	Ro-5028442	4.545	-9.1
1757	pyridoxal-isonicotinoyl-hydrazone	4.548	-7.8
1758	AAI101	4.553	-8.0
1759	leniolisib	4.554	-7.9
1760	vecabrutinib	4.555	-10.1
1761	SB-242235	4.556	-10.0
1762	BAY-1251152	4.557	-10.4
1763	devazepide	4.557	-10.0
1764	LY3200882	4.558	-10.2
1765	PF-04995274	4.558	-10.2
1766	VU10010	4.560	-9.3
1767	E-4031	4.563	-10.5
1768	IACS-10759	4.563	-11.7
1769	mefloquine	4.564	-10.6
1770	NS-8593	4.565	-10.4
1771	JNJ-38877605	4.566	-10.4
1772	GW-1929	4.569	-11.9
1773	AEG3482	4.570	-8.2
1774	BOS-172722	4.577	-9.6
1775	KD025	4.577	-11.1
1776	maribavir	4.578	-8.0
1777	voxelotor	4.579	-9.3
1778	Ro-90-7501	4.579	-11.6
1779	indiplon	4.582	-10.3
1780	AMG-517	4.589	-11.5
1781	MK-3697	4.590	-9.2
1782	tegaserod	4.593	-8.4
1783	sulfamethazine	4.598	-8.6
1784	PRT4165	4.603	-9.5
1785	rovazolac	4.603	-10.5
1786	APD597	4.604	-8.6
1787	A-381393	4.606	-10.4
1788	EW-7197	4.607	-10.5
1789	MK-6096	4.609	-9.1
1790	methylergometrine	4.611	-9.4
1791	NGD-98-2	4.611	-9.8
1792	AZD0156	4.611	-9.0
1793	PNU-89843	4.612	-8.0
1794	cot-inhibitor-1	4.613	-9.5
1795	AR-A014418	4.614	-8.6
1796	rociletinib	4.615	-7.7
1797	eniporide	4.616	-9.1
1798	WZ-3146	4.616	-11.3
1799	fevipiprant	4.618	-9.6
1800	A-412997	4.619	-10.1
1801	istradefylline	4.619	-9.2
1802	AZM-475271	4.620	-9.6
1803	GNF-5837	4.624	-12.5
1804	brigatinib	4.625	-8.5
1805	THZ2	4.627	-12.3
1806	madrasin	4.629	-8.7
1807	WAY-100635	4.631	-8.7
1808	delamanid	4.631	-12.1
1809	pritelivir	4.634	-9.7
1810	BMS-536924	4.634	-10.3
1811	HJC-0350	4.636	-9.7
1812	tiabendazole	4.636	-7.5
1813	SU014813	4.637	-10.7
1814	AST-1306	4.638	-10.3
1815	SGC-707	4.640	-9.5
1816	R547	4.640	-10.8
1817	SCH-58261	4.640	-10.4
1818	RAD140	4.641	-9.6
1819	molsidomine	4.641	-6.5
1820	KHK-IN-1	4.642	-9.0
1821	papaverine	4.643	-9.0
1822	S26948	4.644	-10.8
1823	levofloxacin	4.645	-10.3
1824	EDO-S101	4.647	-8.2
1825	_5_7-dichlorokynurenic-acid_	4.647	-7.8
1826	broxaldine	4.647	-8.9
1827	tropifexor	4.647	-10.8
1828	GNF-7	4.647	-9.3
1829	palbociclib	4.648	-10.3
1830	prazosin	4.648	-9.2
1831	tiaramide	4.649	-8.8
1832	PIT	4.649	-8.8
1833	VU1545	4.650	-9.8
1834	ofloxacin	4.653	-10.3
1835	CPI-360	4.655	-9.4
1836	iCRT-14	4.656	-10.7
1837	CCG-63802	4.660	-9.8
1838	zoledronic-acid	4.660	-5.7
1839	STF-31	4.661	-11.2
1840	INCB-003284	4.663	-12.1
1841	crenigacestat	4.664	-10.3
1842	nitazoxanide	4.667	-8.8
1843	beta-amyloid-synthesis-inhibitor	4.667	-10.1
1844	SKLB-1028	4.668	-10.6
1845	entasobulin	4.669	-12.3
1846	gemcitabine-elaidate	4.669	-9.2
1847	pirfenidone	4.669	-8.0
1848	exatecan-mesylate	4.674	-6.8
1849	ML297	4.678	-11.6
1850	osimertinib	4.679	-9.2
1851	dasatinib	4.679	-10.1
1852	GSK239512	4.681	-11.1
1853	NSC-319726	4.687	-7.2
1854	acebilustat	4.687	-11.8
1855	BMS-707035	4.688	-9.4
1856	CP-339818	4.695	-10.0
1857	BAM7	4.696	-9.7
1858	GAL-021	4.696	-7.4
1859	LX1031	4.698	-11.0
1860	ipsapirone	4.701	-10.4
1861	tecastemizole	4.701	-9.7
1862	riboflavin-5-phosphate-sodium	4.703	-8.3
1863	SGC-CBP30	4.705	-8.5
1864	sitravatinib	4.705	-11.1
1865	CI-953	4.706	-8.2
1866	omarigliptin	4.706	-10.7
1867	lonidamine	4.709	-9.9
1868	CB-839	4.710	-12.0
1869	chlorquinaldol	4.711	-8.0
1870	WZ-4002	4.715	-10.6
1871	CR8-_R_	4.715	-10.7
1872	bictegravir	4.715	-11.3
1873	cabotegravir	4.715	-10.5
1874	AZ7550	4.715	-9.4
1875	abacavir	4.716	-8.1
1876	lafutidine	4.721	-9.7
1877	mivobulin	4.722	-10.2
1878	molidustat	4.722	-8.7
1879	seletalisib	4.723	-9.5
1880	Ro-61-8048	4.724	-9.7
1881	PRLX-93936	4.724	-8.6
1882	enrofloxacin	4.725	-10.2
1883	DCC-2618	4.725	-11.9
1884	EHop-016	4.726	-10.9
1885	cefsulodin	4.726	-10.1
1886	MSDC-0602K	4.727	-10.0
1887	AMZ30	4.728	-11.5
1888	LCQ908	4.729	-12.4
1889	selumetinib	4.729	-8.9
1890	ganetespib	4.730	-9.2
1891	AC-710	4.733	-12.4
1892	tenoxicam	4.735	-8.6
1893	GNE-7915	4.736	-9.0
1894	CQS	4.736	-9.4
1895	SRT3190	4.737	-8.4
1896	TD139	4.739	-9.4
1897	AZD3965	4.740	-9.0
1898	DPCPX	4.740	-9.1
1899	LY3023414	4.741	-9.4
1900	relugolix	4.741	-7.7
1901	lanifibranor	4.742	-9.7
1902	ACDPP	4.747	-8.0
1903	axitinib	4.748	-11.2
1904	ZCL-278	4.751	-11.3
1905	indisulam	4.752	-10.3
1906	FRAX486	4.755	-11.1
1907	exo-IWR-1	4.759	-11.6
1908	uprosertib	4.759	-10.0
1909	olmutinib	4.760	-10.4
1910	SU11274	4.761	-12.6
1911	BLU9931	4.763	-10.0
1912	TC-FPR-43	4.763	-9.7
1913	apyramide	4.769	-10.3
1914	DRF053-_R_	4.770	-10.1
1915	LP-533401	4.776	-11.7
1916	rufinamide	4.778	-8.0
1917	enasidenib	4.779	-10.3
1918	liranaftate	4.779	-10.0
1919	cinoxacin	4.780	-8.0
1920	MK-1064	4.781	-9.7
1921	UBP-310	4.782	-8.3
1922	decoquinate	4.783	-8.5
1923	garenoxacin	4.784	-10.1
1924	GW-6471	4.792	-12.0
1925	DpC	4.793	-9.2
1926	BMS-191095	4.796	-7.8
1927	bindarit	4.801	-10.1
1928	ningetinib-tosylate	4.802	-11.8
1929	CCT018159	4.803	-9.0
1930	methylene-blue	4.808	-8.6
1931	tedizolid-phosphate	4.810	-10.7
1932	SB-200646	4.811	-8.7
1933	PF-03084014	4.812	-10.4
1934	furegrelate	4.813	-9.6
1935	difenpiramide	4.814	-10.8
1936	imiloxan	4.814	-8.0
1937	eluxadoline	4.816	-9.6
1938	OAC1	4.816	-9.3
1939	_1_3-dipropyl-8-phenylxanthine_	4.816	-9.1
1940	antalarmin	4.817	-8.1
1941	deferasirox	4.817	-9.6
1942	JNJ-16259685	4.821	-10.7
1943	pergolide	4.822	-8.0
1944	nicodicosapent	4.822	-9.8
1945	SNX-2112	4.823	-9.7
1946	PHA-848125	4.823	-12.1
1947	GS-6201	4.824	-10.7
1948	UBP-302	4.825	-8.5
1949	WAY-362450	4.826	-9.2
1950	RG7800	4.826	-9.5
1951	NAB-2	4.827	-11.5
1952	zomepirac	4.827	-9.1
1953	TFC-007	4.829	-12.1
1954	tryptanthrin	4.831	-9.9
1955	E-2012	4.831	-10.5
1956	zanubrutinib	4.832	-9.9
1957	piroxicam	4.832	-9.7
1958	ML323	4.833	-10.9
1959	TAK-960	4.836	-9.6
1960	astemizole	4.836	-11.3
1961	NGP555	4.837	-11.2
1962	ADX-10059	4.837	-8.6
1963	orantinib	4.838	-9.7
1964	FLT3-IN-1	4.840	-9.7
1965	torcitabine	4.842	-6.9
1966	sulfamoxole	4.843	-8.6
1967	phenazopyridine	4.844	-8.4
1968	vadadustat	4.847	-8.8
1969	ST-1535	4.849	-8.4
1970	_L-655_708_	4.850	-9.7
1971	SCH-900776	4.851	-8.6
1972	bepotastine	4.853	-9.8
1973	VU29	4.854	-10.4
1974	PF-04136309	4.855	-12.7
1975	IDH-305	4.855	-11.2
1976	afobazole	4.858	-7.8
1977	BU-224	4.858	-8.1
1978	vericiguat	4.858	-10.9
1979	cyt387	4.862	-10.2
1980	2-chloro-N6-cyclopentyladenosine	4.865	-8.9
1981	finafloxacin	4.865	-8.4
1982	GSK2830371	4.867	-10.2
1983	2_-MeCCPA	4.868	-9.1
1984	BI-2536	4.869	-9.5
1985	irinotecan	4.869	-9.8
1986	azelastine	4.870	-9.7
1987	VU0361737	4.875	-8.3
1988	JNJ-54175446	4.877	-8.2
1989	CX-5461	4.878	-9.5
1990	L-760735	4.879	-10.2
1991	AZD1390	4.880	-11.6
1992	pibenzimol	4.882	-12.2
1993	ICA-121431	4.882	-9.7
1994	acumapimod	4.885	-10.6
1995	PF-03758309	4.886	-8.8
1996	SB-228357	4.888	-10.9
1997	vincamine	4.889	-8.2
1998	D-4476	4.892	-9.8
1999	ciprofloxacin	4.895	-9.8
2000	AZD3264	4.898	-9.0
2001	_5-amino-3-D-ribofuranosylthiazolo_4_5-d_pyrimidin-2_7_3H_6H_-dione_	4.899	-7.3
2002	AQW-051	4.900	-10.3
2003	futibatinib	4.907	-8.7
2004	XL147	4.907	-9.8
2005	cardiogenol-C	4.907	-7.9
2006	RS-100329	4.907	-10.6
2007	ceftibuten	4.908	-8.8
2008	raltitrexed	4.909	-9.8
2009	R-121919	4.910	-9.2
2010	MK-0773	4.911	-11.8
2011	BMS-911543	4.913	-8.1
2012	BML-190	4.913	-9.4
2013	MK-5046	4.914	-10.5
2014	tolonium	4.915	-9.4
2015	PF-514273	4.915	-8.1
2016	XAV-939	4.915	-9.5
2017	glesatinib	4.916	-10.8
2018	SB-649868	4.918	-9.0
2019	F351	4.919	-8.1
2020	fostamatinib	4.919	-5.3
2021	ICA-110381	4.919	-8.8
2022	nedocromil	4.920	-8.9
2023	pruvanserin	4.920	-10.7
2024	ZK-164015	4.921	-9.2
2025	buspirone	4.923	-11.0
2026	RS-17053	4.924	-9.7
2027	pirenoxine	4.925	-10.6
2028	dolutegravir	4.926	-10.1
2029	rutaecarpine	4.926	-10.8
2030	CUDC-101	4.928	-10.0
2031	VU0364439	4.930	-10.6
2032	endo-IWR-1	4.931	-11.7
2033	cadazolid	4.932	-12.1
2034	carbendazim	4.934	-7.2
2035	tedizolid	4.936	-10.2
2036	FG-2216	4.936	-8.2
2037	ripretinib	4.937	-8.4
2038	cridanimod	4.940	-8.9
2039	RWJ-50271	4.940	-9.4
2040	CEP-40783	4.945	-11.8
2041	RQ-00203078	4.945	-10.3
2042	PF-05190457	4.947	-12.5
2043	JNJ-42041935	4.948	-9.2
2044	fenbendazole	4.948	-9.5
2045	isoxicam	4.951	-10.1
2046	besifloxacin	4.953	-9.4
2047	volasertib	4.959	-12.2
2048	BT-11	4.965	-11.4
2049	amlexanox	4.965	-9.6
2050	G007-LK	4.966	-11.5
2051	mitapivat	4.967	-10.7
2052	oxibendazole	4.968	-7.8
2053	pefloxacin	4.970	-9.2
2054	PIK-75	4.971	-10.1
2055	TG100-115	4.972	-9.2
2056	TAK-243	4.972	-9.9
2057	ISX-9	4.973	-7.5
2058	sotrastaurin	4.975	-10.4
2059	_L-732_138_	4.978	-11.9
2060	MPEP	4.978	-7.9
2061	fenoxaprop-p-ethyl	4.979	-9.3
2062	PF-04885614	4.980	-8.6
2063	PFI-3	4.981	-9.9
2064	FR-180204	4.982	-9.4
2065	trametinib	4.983	-7.5
2066	COR-170	4.983	-9.5
2067	glasdegib	4.986	-10.3
2068	latrepirdine	4.986	-10.9
2069	losmapimod	4.986	-9.7
2070	CZC-54252	4.987	-10.0
2071	PSN-375963	4.988	-9.1
2072	epirizole	4.990	-7.3
2073	rosoxacin	4.990	-9.7
2074	nefazodone	4.990	-10.8
2075	BMS-191011	4.991	-10.4
2076	MKT-077	4.995	-8.6
2077	AZD6482	4.996	-8.6
2078	vinburnine	4.998	-9.7
2079	SR-27897	5.000	-9.6
2080	CFI-400945	5.001	-13.1
2081	Y-29794	5.002	-8.6
2082	IKK-16	5.007	-12.0
2083	NGD-94-1	5.009	-10.2
2084	MLN8054	5.010	-10.8
2085	ceftaroline-fosamil	5.010	-8.7
2086	LRRK2-IN-1	5.011	-8.7
2087	bazedoxifene	5.014	-11.0
2088	abametapir	5.014	-7.7
2089	THK5351	5.014	-9.4
2090	TCS-2210	5.018	-10.5
2091	TGR-1202	5.019	-9.8
2092	sipatrigine	5.019	-9.2
2093	meloxicam	5.022	-10.1
2094	GSK690693	5.023	-9.0
2095	binimetinib	5.024	-8.9
2096	nocodazole	5.024	-9.5
2097	tideglusib	5.028	-9.9
2098	NSC-625987	5.030	-8.9
2099	KW-2449	5.030	-10.9
2100	salazodine	5.033	-10.1
2101	GSK1070916	5.033	-9.9
2102	flubendazole	5.033	-10.5
2103	BCTC	5.035	-10.7
2104	alagebrium	5.036	-8.2
2105	darusentan	5.036	-8.1
2106	oprozomib	5.038	-8.1
2107	NNC-05-2090	5.039	-11.1
2108	PKI-166	5.040	-10.7
2109	ticagrelor	5.041	-9.0
2110	bunazosin	5.043	-8.6
2111	NMS-1286937	5.043	-8.4
2112	VU0364770	5.044	-8.0
2113	A-582941	5.045	-10.0
2114	ABX464	5.045	-10.0
2115	PFI-4	5.047	-8.6
2116	bilastine	5.050	-10.8
2117	SB-216763	5.050	-9.0
2118	dapivirine	5.054	-10.4
2119	resminostat	5.058	-8.7
2120	SB-431542	5.059	-9.7
2121	azeliragon	5.061	-9.9
2122	desidustat	5.061	-8.5
2123	N6-cyclopentyladenosine	5.063	-8.8
2124	mebendazole	5.065	-10.1
2125	statil	5.067	-10.1
2126	NPY-5RA972	5.068	-10.1
2127	GDC-0152	5.068	-8.4
2128	PF-5274857	5.069	-9.4
2129	TC-G-1008	5.070	-10.7
2130	SIB-1893	5.072	-8.1
2131	R112	5.073	-10.1
2132	BMS-779788	5.074	-9.0
2133	SX-011	5.075	-10.9
2134	maraviroc	5.076	-9.9
2135	NTRC-824	5.078	-11.0
2136	SRT1720	5.085	-9.0
2137	ivacaftor	5.088	-10.2
2138	SC-560	5.088	-8.5
2139	fruquintinib	5.089	-9.7
2140	wnt-c59	5.092	-11.4
2141	AMG-925	5.092	-10.3
2142	SB-221284	5.094	-9.1
2143	ML193	5.096	-9.5
2144	GW-0742	5.097	-9.9
2145	PhiKan-083	5.103	-8.3
2146	TC-LPA5-4	5.104	-9.7
2147	orbifloxacin	5.104	-8.5
2148	R406	5.104	-11.0
2149	gatifloxacin	5.106	-8.9
2150	SJ-733	5.107	-9.2
2151	oglemilast	5.107	-8.2
2152	BMY-14802	5.108	-9.8
2153	tecadenoson	5.112	-8.2
2154	MK-8745	5.112	-11.4
2155	AZD4573	5.114	-10.3
2156	PSNCBAM-1	5.115	-12.1
2157	ramatroban	5.116	-10.0
2158	AMG-PERK-44	5.116	-10.9
2159	PHA-665752	5.117	-11.0
2160	MLN1117	5.117	-10.6
2161	presatovir	5.119	-7.6
2162	PF-03049423	5.119	-8.5
2163	CDPPB	5.121	-11.1
2164	triclabendazole	5.122	-9.2
2165	sitafloxacin	5.124	-9.6
2166	SU16f	5.124	-11.6
2167	Ko143	5.126	-8.7
2168	MK-0557	5.131	-12.5
2169	AIM-100	5.132	-10.0
2170	TP-0903	5.132	-11.7
2171	ON123300	5.137	-11.3
2172	niflumic-acid	5.137	-9.4
2173	XL041	5.139	-5.9
2174	L-741742	5.140	-10.9
2175	VU0240551	5.144	-9.9
2176	WP1066	5.145	-9.3
2177	MC1568	5.146	-10.0
2178	pirenperone	5.147	-11.0
2179	cefditoren-pivoxil	5.150	-7.9
2180	oxacillin	5.150	-9.2
2181	BAY-87-2243	5.151	-11.6
2182	TC-OT-39	5.152	-7.7
2183	ZM-323881	5.154	-11.6
2184	IWP-L6	5.158	-11.1
2185	pipemidic-acid	5.161	-8.8
2186	clinafloxacin	5.162	-9.4
2187	tozasertib	5.165	-10.2
2188	ONO-8130	5.166	-9.8
2189	erlotinib	5.166	-7.8
2190	JNJ-7706621	5.170	-10.4
2191	WZ8040	5.175	-11.7
2192	BMS-986020	5.177	-12.3
2193	FK-866	5.179	-10.9
2194	pipofezine	5.180	-9.9
2195	L-phenylisopropyladenosine	5.180	-9.7
2196	AM095	5.180	-12.3
2197	GSK2256098	5.184	-8.5
2198	linagliptin	5.184	-7.9
2199	NPS-2407	5.187	-10.1
2200	CCG-50014	5.189	-9.6
2201	risedronate	5.195	-6.5
2202	URMC-099	5.197	-13.3
2203	cloxacillin	5.198	-9.5
2204	gilteritinib	5.200	-9.5
2205	ridinilazole	5.201	-12.2
2206	basimglurant	5.202	-10.1
2207	piribedil	5.206	-9.4
2208	GDC-0941	5.208	-9.3
2209	lixivaptan	5.210	-13.2
2210	GSK189254	5.213	-11.0
2211	oncrasin-1	5.215	-9.9
2212	CT-7758	5.220	-10.3
2213	elvitegravir	5.221	-8.0
2214	GW-501516	5.228	-9.6
2215	SP-141	5.228	-10.5
2216	indibulin	5.229	-11.7
2217	frentizole	5.235	-9.4
2218	parbendazole	5.241	-8.1
2219	BAY1125976	5.241	-10.5
2220	PF-06873600	5.244	-10.5
2221	oxfendazole	5.247	-9.6
2222	fluvastatin	5.248	-8.4
2223	YC-1	5.249	-10.7
2224	YM-58483	5.249	-10.2
2225	T-807	5.250	-10.1
2226	LY266097	5.250	-9.8
2227	BMS-770767	5.250	-11.1
2228	naquotinib	5.254	-11.6
2229	phenylbenzimidazole-sulfonic-acid	5.256	-9.2
2230	berberine	5.258	-9.3
2231	GSK2801	5.263	-7.9
2232	A-987306	5.264	-10.7
2233	AZD9668	5.272	-11.2
2234	mebhydrolin	5.275	-10.6
2235	WP1130	5.279	-9.3
2236	rufloxacin	5.280	-8.2
2237	TAK-632	5.285	-11.5
2238	SR-2211	5.286	-11.2
2239	saracatinib	5.287	-10.2
2240	tiplaxtinin	5.288	-11.5
2241	SirReal-2	5.290	-11.3
2242	ozenoxacin	5.293	-10.5
2243	WWL-113	5.293	-11.8
2244	BRD4770	5.297	-10.4
2245	metergoline	5.299	-10.9
2246	SAM-315	5.306	-11.4
2247	GSK461364	5.307	-11.1
2248	albendazole-oxide	5.309	-8.0
2249	PF-3274167	5.313	-8.1
2250	radiprodil	5.316	-11.5
2251	JNJ-17203212	5.317	-11.6
2252	RG7834	5.317	-8.8
2253	GPI-1046	5.318	-9.2
2254	APD668	5.324	-10.1
2255	OAC2	5.324	-9.5
2256	LIMKi-3	5.327	-9.1
2257	CITCO	5.330	-9.8
2258	piromidic-acid	5.331	-9.2
2259	enoxacin	5.332	-9.5
2260	bendamustine	5.335	-7.3
2261	CC-90003	5.335	-8.2
2262	YM-90709	5.337	-10.1
2263	chlorpyrifos	5.341	-6.9
2264	danofloxacin	5.342	-10.2
2265	GDC-0575	5.343	-6.5
2266	SB-505124	5.349	-9.2
2267	sapacitabine	5.349	-9.3
2268	enzastaurin	5.349	-11.0
2269	MK2-IN-1	5.350	-11.3
2270	tyrphostin-AG-1296	5.354	-8.6
2271	PF-573228	5.358	-12.0
2272	CycLuc1	5.358	-8.6
2273	alectinib	5.358	-8.9
2274	GNF-5	5.360	-10.6
2275	ZLN005	5.363	-9.7
2276	LH846	5.364	-9.7
2277	NH125	5.368	-9.2
2278	CC-930	5.368	-9.5
2279	reversine	5.368	-8.9
2280	SHP099	5.376	-9.2
2281	tetomilast	5.377	-9.5
2282	SB-202190	5.380	-9.6
