rank	ligand	N_Fe_dist_A	vina_kcal_mol
356	leteprinim	3.126	-9.4
357	CHR-6494	3.127	-9.1
358	taminadenant	3.128	-7.9
359	dalfampridine	3.130	-4.3
360	UC-112	3.131	-9.8
361	chiniofon	3.134	-7.0
362	MMV-390048	3.135	-9.5
363	atipamezole	3.136	-8.7
364	xanomeline	3.136	-7.7
365	taprenepag	3.136	-9.5
366	JNJ-39758979	3.137	-7.9
367	isoniazid	3.139	-5.7
368	ponatinib	3.139	-11.8
369	NB-001	3.140	-7.2
370	fenticonazole	3.144	-10.4
371	GNF-2	3.144	-11.2
372	SKF-96365	3.144	-8.7
373	cebranopadol	3.145	-9.6
374	GS-9620	3.146	-9.8
375	capadenoson	3.149	-9.3
376	gemcitabine	3.151	-7.5
377	pyrazolanthrone	3.151	-9.4
378	NS-19504	3.151	-7.6
379	LY2109761	3.152	-9.7
380	penciclovir	3.153	-7.1
381	lomeguatrib	3.153	-8.0
382	XL888	3.155	-10.2
383	pyrazinoylguanidine	3.156	-6.0
384	sumanirole	3.157	-7.7
385	BMS-813160	3.158	-7.6
386	CORT-108297	3.158	-9.2
387	iodoquinol	3.158	-6.9
388	CU-T12-9	3.160	-10.1
389	betazole	3.161	-4.5
390	valdecoxib	3.161	-8.7
391	primaquine	3.162	-7.9
392	N-acetyltryptamine	3.163	-8.3
393	PF-04620110	3.164	-10.5
394	APTO-253	3.167	-9.7
395	ronidazole	3.170	-5.8
396	bosutinib	3.170	-8.4
397	evatanepag	3.170	-10.3
398	cefmetazole	3.172	-7.0
399	CW-008	3.173	-11.1
400	asciminib	3.173	-10.9
401	tacrine	3.173	-8.5
402	parecoxib	3.174	-9.3
403	NS-11021	3.176	-10.5
404	LY2874455	3.176	-9.6
405	niceritrol	3.176	-9.0
406	IBC-293	3.177	-7.7
407	anagliptin	3.180	-9.3
408	acitazanolast	3.181	-8.2
409	CC-401	3.181	-10.8
410	T-5224	3.182	-11.2
411	CID-2745687	3.184	-7.7
412	zaltidine	3.185	-7.0
413	azilsartan	3.185	-8.9
414	sulfameter	3.186	-7.8
415	AT-7519	3.186	-8.4
416	losartan	3.187	-8.8
417	tioconazole	3.187	-8.9
418	gefapixant	3.190	-7.3
419	mocetinostat	3.191	-11.4
420	lamotrigine	3.194	-8.1
421	afloqualone	3.195	-9.1
422	TCS-21311	3.195	-9.4
423	UPF-1069	3.196	-10.5
424	cabozantinib	3.196	-11.3
425	HTMT	3.197	-9.5
426	imidazoacridinone	3.197	-8.2
427	GW-788388	3.199	-12.3
428	quipazine	3.202	-8.3
429	BMS-777607	3.202	-10.4
430	ACT-132577	3.205	-8.5
431	L-778123	3.206	-9.9
432	thiazovivin	3.208	-9.3
433	LY2183240	3.211	-10.7
434	nicotine	3.212	-6.5
435	triciribine-phosphate	3.214	-8.9
436	sulphadimethoxine	3.214	-8.4
437	metatinib	3.215	-11.9
438	FN-1501	3.215	-10.8
439	itacitinib	3.216	-11.5
440	L-694247	3.218	-10.1
441	rivanicline	3.218	-6.3
442	SEN-1269	3.218	-10.5
443	IDO5L	3.219	-8.3
444	EPZ-5676	3.220	-11.5
445	CRT0044876	3.221	-7.6
446	R-268712	3.221	-10.4
447	O6-benzylguanine	3.225	-9.1
448	cyanopindolol	3.226	-8.3
449	KG-5	3.227	-11.5
450	etanidazole	3.229	-6.0
451	pyroxamide	3.230	-8.1
452	ZK-93426	3.231	-8.0
453	pleconaril	3.232	-9.2
454	benzydamine	3.233	-9.3
455	adavivint	3.233	-12.1
456	PF-477736	3.234	-10.7
457	EMD-386088	3.234	-8.2
458	ICI-162846	3.234	-8.4
459	nizatidine	3.235	-6.8
460	NS-9283	3.236	-9.2
461	iproniazid	3.236	-6.9
462	dideoxyadenosine	3.237	-7.5
463	LXH254	3.238	-10.5
464	imiquimod	3.238	-8.6
465	duvelisib	3.239	-8.9
466	alpha-methylhistamine-dihydrobromide-_R_-_-_	3.240	-5.0
467	ER-27319	3.240	-8.8
468	CYC116	3.240	-9.9
469	tomelukast	3.241	-8.7
470	PSI-6130	3.241	-7.5
471	WAY-629	3.242	-9.2
472	oxypurinol	3.242	-6.3
473	AZD8835	3.242	-9.8
474	impentamine	3.246	-5.3
475	3-bromo-7-nitroindazole	3.247	-6.9
476	PHA-793887	3.248	-9.6
477	etofibrate	3.248	-9.1
478	niraparib	3.249	-10.8
479	tyrphostin-AG-1478	3.253	-8.5
480	IBMX	3.253	-7.5
481	SGC-0946	3.253	-9.7
482	GSK923295	3.254	-9.7
483	GZD824	3.254	-10.8
484	PF-06282999	3.257	-7.7
485	GSK2881078	3.257	-8.3
486	3-AQC	3.257	-8.3
487	carmoxirole	3.258	-11.0
488	brivanib	3.258	-9.2
489	nimustine	3.259	-7.2
490	GW-843682X	3.259	-10.2
491	ID-8	3.259	-9.0
492	eleclazine	3.260	-10.6
493	proxyfan	3.263	-7.6
494	GF109203X	3.263	-9.7
495	quinpirol-_-_	3.264	-8.2
496	LY364947	3.264	-9.4
497	anpirtoline	3.264	-7.3
498	SD-208	3.265	-9.9
499	cephapirin	3.266	-8.5
500	ipidacrine	3.268	-8.3
501	altinicline	3.269	-7.3
502	BX-912	3.269	-10.2
503	azomycin-_2-nitroimidazole_	3.270	-4.6
504	AMG-319	3.270	-10.2
505	radezolid	3.271	-10.7
506	NM107	3.271	-7.3
507	PD-153035	3.272	-8.5
508	YM-511	3.272	-8.8
509	clioquinol	3.274	-7.1
510	AMPA-_RS_	3.275	-6.2
511	ogerin	3.277	-10.4
512	broxyquinoline	3.277	-7.1
513	nicotinyl-alcohol-tartrate	3.278	-4.8
514	ONO-4059	3.279	-10.1
515	LY2603618	3.285	-8.7
516	AT-9283	3.285	-10.0
517	_5-_4chlorophenyl_-4-ethyl-2_4-dihydro-3H-1_2_4-triazol-3-one_	3.286	-7.8
518	amifampridine	3.289	-4.6
519	pindolol-_-_	3.289	-7.4
520	nelarabine	3.292	-7.1
521	aminophylline	3.293	-6.6
522	SB-772077B	3.298	-8.3
523	PP-2	3.298	-8.8
524	cefozopran	3.299	-8.1
525	aminothiazole	3.300	-3.9
526	MR-948	3.300	-7.6
