cid	smiles	pchembl	n_records	types	heavy	verdict	max_tc	nearest_active	in_domain
CHEMBL434852	COC(=O)C(Cc1ccccc1)NC(=O)c1cc(-c2ccc(Br)cc2)nc2c(C)cc(Cl)cc12	5.24	1	IC50	34	in-envelope-novel	0.158	fenticonazole	True
CHEMBL435553	Nc1ncc(NCc2ccccc2)c(N)n1	5.025	2	IC50	16	in-envelope-novel	0.137	bifonazole	True
CHEMBL437438	CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O	7.16	1	IC50	73	out-of-scope	0.121	posaconazole	False
CHEMBL437537	CC[C@H](C)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCSC)C(N)=O	5.33	1	IC50	94	out-of-domain	0.101	posaconazole	False
CHEMBL437803	CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O	8.0	2	IC50	74	out-of-scope	0.129	posaconazole	False
CHEMBL437991	CC[C@H](C)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCSC)C(N)=O	5.58	1	IC50	92	out-of-domain	0.101	posaconazole	False
CHEMBL438198	CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCN)C(=O)O1	8.07	1	IC50	108	out-of-scope	0.119	ketoconazole	False
CHEMBL438205	CC[C@@H](C)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]cn1)C(N)=O	5.72	1	IC50	94	out-of-domain	0.099	posaconazole	False
CHEMBL438668	CCCCCCCCOc1ccc(NC(=O)[C@]2(O)C[C@@H](O)[C@@H](O)[C@H](OC(=O)/C=C/c3ccc(O)c(O)c3)C2)cc1	4.39	1	IC50	40	out-of-scope	0.157	ketoconazole	False
CHEMBL440534	O=C(O)c1cc(-c2ccc(Br)cc2)nc2ccccc12	6.3	1	IC50	20	in-envelope-novel	0.17	bifonazole	True
CHEMBL442034	O=C(O)CN1C(=O)/C(=C/c2ccc(OCc3cccc(C(F)(F)F)c3)c(OCc3ccccc3)c2)SC1=S	6.19	1	IC50	38	out-of-scope	0.133	fenticonazole	False
